"time_from","time_to","tile_from","tile_to","eventLoc"
210,220,1560,1560,0.000348346615911585
220,230,1560,1560,0.000781180227952088
230,240,1560,1560,0.0021774638348577
240,250,1560,1560,0.00302117965732522
250,260,1560,1560,0.00459673104640545
260,270,1560,1560,0.0052826137429957
270,280,1560,1560,0.0064242708277418
280,290,1560,1560,0.00659797895178891
290,300,1560,1560,0.00708789395390733
300,310,1560,1560,0.00661152908296006
310,320,1560,1560,0.00649615001355082
320,330,1560,1560,0.00541048835664935
330,340,1560,1560,0.00490541042340149
340,350,1560,1560,0.00341622077189947
350,360,1560,1560,0.0028402501945058
360,370,1560,1560,0.00132710600361201
370,380,1560,1560,0.000996351677184783
210,220,1561,1560,5.5871608253494e-09
220,230,1561,1560,9.06791818981249e-09
230,240,1561,1560,1.48523819274621e-08
240,250,1561,1560,1.75973370271536e-08
250,260,1561,1560,2.12516206371812e-08
260,270,1561,1560,2.22118336645546e-08
270,280,1561,1560,2.36259828347233e-08
280,290,1561,1560,2.27326813603159e-08
290,300,1561,1560,2.23768795454401e-08
300,310,1561,1560,1.98940746778666e-08
310,320,1561,1560,1.83897480921799e-08
320,330,1561,1560,1.4762166564734e-08
330,340,1561,1560,1.28003405116911e-08
340,350,1561,1560,8.65897198721461e-09
350,360,1561,1560,6.96041856381206e-09
360,370,1561,1560,3.17701260508721e-09
370,380,1561,1560,2.32356950817287e-09
210,220,1520,1560,1.8265229059352e-09
220,230,1520,1560,7.55631233018633e-09
230,240,1520,1560,1.06408947715494e-08
240,250,1520,1560,1.54091087284698e-08
250,260,1520,1560,1.76608548666783e-08
260,270,1520,1560,2.00573528406608e-08
270,280,1520,1560,2.08833935264953e-08
280,290,1520,1560,2.09701028795888e-08
290,300,1520,1560,2.04486950004719e-08
300,310,1520,1560,1.86378727877732e-08
310,320,1520,1560,1.71561072045566e-08
320,330,1520,1560,1.39906501838449e-08
330,340,1520,1560,1.21097639613808e-08
340,350,1520,1560,8.27878269038701e-09
350,360,1520,1560,6.65089739589189e-09
360,370,1520,1560,3.0581307780789e-09
370,380,1520,1560,2.23663751072726e-09
200,210,1521,1560,0.000463227491353181
210,220,1521,1560,0.000703744767855289
220,230,1521,1560,0.00214379273769189
230,240,1521,1560,0.00195662218820532
240,250,1521,1560,0.00323606901441958
250,260,1521,1560,0.0027959017884541
260,270,1521,1560,0.00361806728814585
270,280,1521,1560,0.00311793115435491
280,290,1521,1560,0.00345892816032927
290,300,1521,1560,0.00297199962424234
300,310,1521,1560,0.00291209276410854
310,320,1521,1560,0.00246325610957995
320,330,1521,1560,0.00211622670493441
330,340,1521,1560,0.00173137971438052
340,350,1521,1560,0.00122919656755949
350,360,1521,1560,0.000951303379880989
360,370,1521,1560,0.00044970076356199
370,380,1521,1560,0.000320942318808999
210,220,1560,1561,1.50626183234733e-09
220,230,1560,1561,3.50644343853129e-09
230,240,1560,1561,9.91426830902275e-09
240,250,1560,1561,1.44499471217556e-08
250,260,1560,1561,2.22930462844381e-08
260,270,1560,1561,2.73833462278307e-08
270,280,1560,1561,3.36866138044487e-08
280,290,1560,1561,3.79705831902648e-08
290,300,1560,1561,4.0990063173399e-08
300,310,1560,1561,4.37885722817834e-08
310,320,1560,1561,4.25572988956328e-08
320,330,1560,1561,4.37202103468687e-08
330,340,1560,1561,3.77709828794932e-08
340,350,1560,1561,3.75667282045567e-08
350,360,1560,1561,2.70613424958698e-08
360,370,1560,1561,2.61201183589164e-08
370,380,1560,1561,1.26033830212756e-08
