"time_from","time_to","tile_from","tile_to","eventLoc"
70,80,1577,1577,7.44174928791146e-11
80,90,1577,1577,3.09946370683841e-08
90,100,1577,1577,9.97536461752524e-08
100,110,1577,1577,1.79139495101515e-07
110,120,1577,1577,2.29014966986738e-07
120,130,1577,1577,2.23402031946863e-07
130,140,1577,1577,1.66100104372742e-07
140,150,1577,1577,8.76218491560271e-08
150,160,1577,1577,2.56542108929743e-08
160,170,1577,1577,5.65902499655287e-11
70,80,1578,1577,1.31030241278108e-17
80,90,1578,1577,5.08994601736908e-17
90,100,1578,1577,1.0595964779578e-16
100,110,1578,1577,1.55145741773182e-16
110,120,1578,1577,1.75122211277858e-16
120,130,1578,1577,1.56536588898434e-16
130,140,1578,1577,1.08854650160988e-16
140,150,1578,1577,5.43960956448218e-17
150,160,1578,1577,1.52180166242351e-17
160,170,1578,1577,3.22803723902214e-20
70,80,1537,1577,7.72485406204028e-18
80,90,1537,1577,2.8008421868466e-17
90,100,1537,1577,5.33162900818057e-17
100,110,1537,1577,7.14403902413057e-17
110,120,1537,1577,7.43120532193672e-17
120,130,1537,1577,6.17412808217403e-17
130,140,1537,1577,4.02501089963169e-17
140,150,1537,1577,1.90062777548433e-17
150,160,1537,1577,5.06048171929534e-18
160,170,1537,1577,1.02803570059612e-20
60,70,1538,1577,1.15795582885229e-10
70,80,1538,1577,5.00759356698684e-08
80,90,1538,1577,1.38473442064893e-07
90,100,1538,1577,2.24123275785908e-07
100,110,1538,1577,2.70249676441586e-07
110,120,1538,1577,2.61500015767964e-07
120,130,1538,1577,2.06302124279302e-07
130,140,1538,1577,1.29406078552037e-07
140,150,1538,1577,5.93125475593523e-08
150,160,1538,1577,1.54199663179567e-08
160,170,1538,1577,3.07140003667668e-11
70,80,1577,1578,1.6193433730598e-20
80,90,1577,1578,6.99815156863129e-18
90,100,1577,1578,2.35450954466834e-17
100,110,1577,1578,4.46558434077565e-17
110,120,1577,1578,6.11907222164931e-17
120,130,1577,1578,6.54695143417223e-17
130,140,1577,1578,5.55604225284931e-17
140,150,1577,1578,3.62982035410922e-17
150,160,1577,1578,1.65542825392158e-17
160,170,1577,1578,3.94697881974244e-18
70,80,1578,1578,2.57811767798751e-08
80,90,1578,1578,1.03914762102091e-07
90,100,1578,1578,2.26141081496917e-07
100,110,1578,1578,3.49698760439068e-07
110,120,1578,1578,4.23087532546851e-07
120,130,1578,1578,4.14796562414555e-07
130,140,1578,1578,3.29237960844358e-07
140,150,1578,1578,2.03754743665973e-07
150,160,1578,1578,8.87926544043176e-08
160,170,1578,1578,2.03577136868339e-08
60,70,1579,1578,8.03840888517227e-20
70,80,1579,1578,9.51191889720533e-17
80,90,1579,1578,3.0890582782485e-16
90,100,1579,1578,5.74394586188673e-16
100,110,1579,1578,7.86989894429959e-16
110,120,1579,1578,8.64504103044006e-16
120,130,1579,1578,7.83049614179674e-16
130,140,1579,1578,5.8166476074565e-16
140,150,1579,1578,3.40206813603471e-16
150,160,1579,1578,1.41193730216183e-16
160,170,1579,1578,3.10188340173269e-17
70,80,1537,1578,1.87396594397471e-09
80,90,1537,1578,7.05006181825693e-09
