"time_from","time_to","tile_from","tile_to","eventLoc"
0,10,1361,1361,8.33024969480356e-07
10,20,1361,1361,2.64432220067985e-07
20,30,1361,1361,2.05595352727268e-07
30,40,1361,1361,1.77516683868902e-07
40,50,1361,1361,1.58775975620728e-07
50,60,1361,1361,1.4455065915319e-07
60,70,1361,1361,1.33013235732376e-07
70,80,1361,1361,1.23169990719977e-07
80,90,1361,1361,1.14366026030541e-07
90,100,1361,1361,1.06134751071335e-07
100,110,1361,1361,9.81380719216181e-08
110,120,1361,1361,9.01346994959701e-08
120,130,1361,1361,8.19614729751119e-08
130,140,1361,1361,7.35230966582457e-08
140,150,1361,1361,6.47882433328272e-08
150,160,1361,1361,5.5790479138258e-08
160,170,1361,1361,4.66321881342465e-08
170,180,1361,1361,3.74887709206018e-08
180,190,1361,1361,2.86088931144683e-08
190,200,1361,1361,2.03050953649694e-08
200,210,1361,1361,1.29302511865884e-08
210,220,1361,1361,6.84854254908702e-09
220,230,1361,1361,2.434607699974e-09
230,240,1361,1361,2.13615732299379e-10
0,10,1362,1361,1.46570251632139e-07
10,20,1362,1361,4.95354629340041e-08
20,30,1362,1361,3.54377762232186e-08
30,40,1362,1361,2.97479659624263e-08
40,50,1362,1361,2.62386753082599e-08
50,60,1362,1361,2.37598903500566e-08
60,70,1362,1361,2.18170647422993e-08
70,80,1362,1361,2.01812490755251e-08
80,90,1362,1361,1.87216902886946e-08
90,100,1362,1361,1.73549138858158e-08
100,110,1362,1361,1.60247807060784e-08
110,120,1362,1361,1.46933376081658e-08
120,130,1362,1361,1.33360487862554e-08
130,140,1362,1361,1.19393486974787e-08
140,150,1362,1361,1.04996628744261e-08
150,160,1362,1361,9.0234165778173e-09
160,170,1362,1361,7.52762558863039e-09
170,180,1362,1361,6.04057484599905e-09
180,190,1362,1361,4.6018814378118e-09
190,200,1362,1361,3.26102384347052e-09
200,210,1362,1361,2.07362138098029e-09
210,220,1362,1361,1.0968637450656e-09
220,230,1362,1361,3.89468125138127e-10
230,240,1362,1361,3.41364108942541e-11
0,10,1320,1361,1.39792363312847e-05
10,20,1320,1361,1.19023511394488e-05
20,30,1320,1361,1.04734050981851e-05
30,40,1320,1361,9.38941298443884e-06
40,50,1320,1361,8.54584525057842e-06
50,60,1320,1361,7.871278565828e-06
60,70,1320,1361,7.3109306074044e-06
70,80,1320,1361,6.82374726351334e-06
80,90,1320,1361,6.37924985089827e-06
90,100,1320,1361,5.95489937494979e-06
100,110,1320,1361,5.53415582870444e-06
110,120,1320,1361,5.10517323020007e-06
120,130,1320,1361,4.66000304716837e-06
130,140,1320,1361,4.19419701437994e-06
140,150,1320,1361,3.70672547019683e-06
150,160,1320,1361,3.20013529364772e-06
