"time_from","time_to","tile_from","tile_to","eventLoc"
140,150,1587,1587,8.21852237399478e-09
150,160,1587,1587,3.26740613852555e-08
160,170,1587,1587,4.63635127056425e-08
170,180,1587,1587,2.72627045383019e-08
130,140,1588,1587,2.25668843023541e-25
140,150,1588,1587,3.0542962768478e-17
150,160,1588,1587,6.85899523488734e-17
160,170,1588,1587,7.08229522670451e-17
170,180,1588,1587,3.37450008930901e-17
140,150,1547,1587,6.93975585477886e-26
150,160,1547,1587,7.51587642505539e-18
160,170,1547,1587,1.35519682826544e-17
170,180,1547,1587,8.49921139074657e-18
130,140,1548,1587,1.87266505306906e-08
140,150,1548,1587,7.89493039971587e-08
150,160,1548,1587,1.27064392005754e-07
160,170,1548,1587,1.11057548339598e-07
170,180,1548,1587,4.73239686380979e-08
140,150,1587,1588,1.53445619079255e-18
150,160,1587,1588,6.05539076722637e-18
160,170,1587,1588,8.59585398998848e-18
170,180,1587,1588,5.17934962975312e-18
130,140,1588,1588,2.18646749241885e-16
140,150,1588,1588,2.9275127646378e-08
150,160,1588,1588,6.52568997874997e-08
160,170,1588,1588,6.74083359851432e-08
170,180,1588,1588,3.29111167127598e-08
120,130,1589,1588,5.6623987628245e-17
130,140,1589,1588,2.56292742399192e-16
140,150,1589,1588,4.63037037188735e-16
150,160,1589,1588,5.05486913445777e-16
160,170,1589,1588,3.53605156898433e-16
170,180,1589,1588,1.33249694884255e-16
140,150,1547,1588,1.38101057171329e-17
150,160,1547,1588,1.48460440176285e-09
160,170,1547,1588,2.67797879082646e-09
170,180,1547,1588,1.72098459292573e-09
130,140,1548,1588,1.70231320924813e-17
140,150,1548,1588,7.09976348076374e-17
150,160,1548,1588,1.13422114601607e-16
160,170,1548,1588,9.91734913610776e-17
170,180,1548,1588,4.3303427581564e-17
120,130,1549,1588,3.96367913397715e-16
130,140,1549,1588,6.74293458028283e-08
140,150,1549,1588,1.46113419434507e-07
150,160,1549,1588,1.6541085663949e-07
160,170,1549,1588,1.15370553396046e-07
170,180,1549,1588,4.27475552435992e-08
130,140,1588,1589,1.99967471326845e-24
140,150,1588,1589,3.3184706109915e-16
150,160,1588,1589,9.77263733253543e-16
160,170,1588,1589,1.48904280883642e-15
170,180,1588,1589,1.38981726193086e-15
180,190,1588,1589,6.81178396848181e-16
120,130,1589,1589,2.23795782933663e-06
130,140,1589,1589,1.20331552763016e-05
140,150,1589,1589,2.69452235896473e-05
150,160,1589,1589,3.88617312404181e-05
160,170,1589,1589,4.00995085338017e-05
170,180,1589,1589,2.88873822839506e-05
