"time_from","time_to","tile_from","tile_to","eventLoc"
410,420,1310,1310,1.34342858880915e-32
410,420,1311,1310,1.03717116104228e-38
400,410,1269,1310,9.70321928361805e-30
410,420,1269,1310,8.06752413736551e-26
400,410,1270,1310,1.4069694286967e-35
410,420,1270,1310,9.51801789924658e-32
400,410,1271,1310,6.7841792804693e-28
410,420,1271,1310,4.01586850215378e-24
410,420,1310,1311,1.93820093810449e-39
410,420,1311,1311,7.38580553512834e-28
410,420,1312,1311,2.43571400791965e-36
400,410,1270,1311,3.50380241965687e-26
410,420,1270,1311,6.45175713800485e-22
400,410,1271,1311,3.7776431053932e-34
410,420,1271,1311,6.08666836038098e-30
400,410,1272,1311,3.21169819082814e-24
410,420,1272,1311,6.80550376324699e-20
410,420,1311,1312,2.62619030969365e-37
410,420,1312,1312,4.27482009629249e-28
410,420,1313,1312,3.86545458942912e-35
400,410,1271,1312,2.51365587819771e-26
410,420,1271,1312,1.01684614280653e-22
400,410,1272,1312,4.77846364028036e-32
410,420,1272,1312,2.54216975017998e-28
400,410,1273,1312,7.31650808666606e-25
410,420,1273,1312,2.63697256723504e-21
400,410,1272,1313,2.56010021798991e-22
400,410,1273,1313,8.7647836352058e-31
400,410,1274,1313,1.8749007461859e-22
400,410,1268,1268,3.62205860361879e-26
410,420,1268,1268,1.07007283477071e-20
420,430,1268,1268,1.01611870715496e-17
400,410,1269,1268,6.92132380936786e-35
410,420,1269,1268,2.85340179844859e-29
420,430,1269,1268,2.05283196562243e-26
390,400,1228,1268,1.68442455078005e-32
400,410,1228,1268,1.01375815034889e-26
410,420,1228,1268,7.32228582087694e-24
420,430,1228,1268,4.03398424612245e-23
390,400,1229,1268,7.08481129874336e-23
400,410,1229,1268,1.89360210834832e-17
410,420,1229,1268,1.77292192190651e-14
420,430,1229,1268,1.13838389607727e-13
410,420,1310,1269,8.68775628471832e-29
420,430,1310,1269,1.64654085962738e-24
400,410,1268,1269,2.86606769282875e-34
410,420,1268,1269,4.37474140958766e-29
420,430,1268,1269,2.62976162118547e-27
400,410,1269,1269,2.70323225967842e-25
410,420,1269,1269,5.75791436330029e-20
420,430,1269,1269,2.62233734883436e-18
400,410,1270,1269,3.73109437269042e-32
410,420,1270,1269,6.46629483625046e-27
420,430,1270,1269,3.84848343956899e-25
390,400,1228,1269,8.18865643585572e-24
400,410,1228,1269,3.76888260599374e-18
410,420,1228,1269,1.40647820183158e-15
420,430,1228,1269,4.90516266756436e-16
390,400,1229,1269,7.70119352288507e-30
400,410,1229,1269,1.57411204354815e-24
410,420,1229,1269,7.61455626994963e-22
420,430,1229,1269,3.09511380138783e-22
390,400,1230,1269,1.05041519944142e-22
400,410,1230,1269,2.85276345577759e-17
410,420,1230,1269,1.04299906083884e-14
420,430,1230,1269,3.72872241704264e-15
410,420,1310,1270,6.41958554378636e-36
420,430,1310,1270,1.4504177948462e-30
410,420,1311,1270,2.32857439307849e-25
420,430,1311,1270,6.87002140649899e-20
400,410,1269,1270,1.8259392764327e-33
410,420,1269,1270,4.04994028886678e-28
420,430,1269,1270,2.19883795610157e-25
400,410,1270,1270,1.24394857166195e-22
410,420,1270,1270,2.24492659171505e-17
420,430,1270,1270,1.59278629246937e-14
400,410,1271,1270,1.2766380975728e-31
410,420,1271,1270,2.01598747828163e-26
420,430,1271,1270,1.07361776853988e-23
390,400,1229,1270,3.13601060802613e-21
400,410,1229,1270,4.99557968793366e-16
410,420,1229,1270,2.51637463901796e-13
420,430,1229,1270,1.21935051734764e-12
390,400,1230,1270,9.56421092898455e-30
400,410,1230,1270,2.02434567351176e-24
410,420,1230,1270,7.70696307966338e-22
420,430,1230,1270,3.28458617598138e-21
390,400,1231,1270,3.49782491879352e-20
400,410,1231,1270,6.39409118140648e-15
410,420,1231,1270,3.18636466668815e-12
420,430,1231,1270,1.63419961348325e-11
410,420,1310,1271,6.01230157845648e-28
420,430,1310,1271,2.45000154209674e-24
410,420,1311,1271,4.87632390640747e-33
420,430,1311,1271,2.59477670646882e-29
410,420,1312,1271,7.55558770330879e-25
420,430,1312,1271,2.73865786321472e-21
400,410,1270,1271,3.26917417059955e-31
410,420,1270,1271,4.47495456555779e-26
420,430,1270,1271,5.72642355429404e-25
400,410,1271,1271,1.65602411431382e-22
410,420,1271,1271,1.98352436246565e-17
420,430,1271,1271,1.90519253523583e-16
400,410,1272,1271,2.99663037798944e-29
410,420,1272,1271,4.72031409193443e-24
420,430,1272,1271,6.02046702998993e-23
390,400,1230,1271,1.1576431501316e-21
400,410,1230,1271,2.49958314448463e-16
410,420,1230,1271,7.21800277804788e-14
420,430,1230,1271,5.54822288095088e-15
390,400,1231,1271,9.46656214408897e-28
400,410,1231,1271,1.76534828773665e-22
410,420,1231,1271,6.67264324682443e-20
420,430,1231,1271,6.17229967693453e-21
390,400,1232,1271,7.3574948334124e-21
