"time_from","time_to","tile_from","tile_to","eventLoc"
130,140,1569,1569,3.43624775289175e-07
140,150,1569,1569,1.66552978053404e-06
150,160,1569,1569,3.56613879726052e-06
160,170,1569,1569,5.04305369126414e-06
170,180,1569,1569,5.2420941325356e-06
180,190,1569,1569,4.02515483419965e-06
190,200,1569,1569,2.09688069162849e-06
200,210,1569,1569,5.57114994978359e-07
210,220,1569,1569,3.38240399444339e-12
120,130,1570,1569,1.1174033382255e-16
130,140,1570,1569,2.37380811885295e-15
140,150,1570,1569,5.85004171687048e-15
150,160,1570,1569,8.81796441234551e-15
160,170,1570,1569,9.91842514647568e-15
170,180,1570,1569,8.74258626605501e-15
180,190,1570,1569,5.92016280090012e-15
190,200,1570,1569,2.79231250960327e-15
200,210,1570,1569,6.84397182193881e-16
210,220,1570,1569,3.88690099191104e-21
140,150,1528,1569,2.38943405964021e-08
150,160,1528,1569,1.08017085075612e-07
160,170,1528,1569,2.11684119352955e-07
170,180,1528,1569,2.63032609379707e-07
180,190,1528,1569,2.25048085069377e-07
190,200,1528,1569,1.25697870205552e-07
200,210,1528,1569,3.49951717284184e-08
210,220,1528,1569,2.19457126959724e-13
130,140,1529,1569,5.10370460546392e-17
140,150,1529,1569,9.40785935015133e-16
150,160,1529,1569,2.2498622454981e-15
160,170,1529,1569,3.1899009858148e-15
170,180,1529,1569,3.23354179368986e-15
180,190,1529,1569,2.401637199311e-15
190,200,1529,1569,1.2082687321276e-15
200,210,1529,1569,3.10324585885921e-16
210,220,1529,1569,1.82489206485074e-21
120,130,1530,1569,5.8257545806981e-07
130,140,1530,1569,2.61096390787307e-06
140,150,1530,1569,5.02916383236075e-06
150,160,1530,1569,6.64506786911454e-06
160,170,1530,1569,6.82087570363901e-06
170,180,1530,1569,5.6041587922384e-06
180,190,1530,1569,3.58624178204388e-06
190,200,1530,1569,1.61440586459329e-06
200,210,1530,1569,3.80542073374163e-07
210,220,1530,1569,2.09105017847156e-12
130,140,1569,1570,3.04890409412255e-15
140,150,1569,1570,1.53707818486231e-14
150,160,1569,1570,3.46346567551119e-14
160,170,1569,1570,5.24079129013973e-14
170,180,1569,1570,5.97347460829727e-14
180,190,1569,1570,5.22249521428345e-14
190,200,1569,1570,3.29176866974501e-14
200,210,1569,1570,1.1729672686439e-14
210,220,1569,1570,2.33179799876991e-17
220,230,1569,1570,6.59808943279367e-25
120,130,1570,1570,2.46059892996519e-06
130,140,1570,1570,5.39109348437869e-05
140,150,1570,1570,0.000138189319019024
150,160,1570,1570,0.000219206256118411
160,170,1570,1570,0.000263826216956054
170,180,1570,1570,0.000254996424117092
180,190,1570,1570,0.00019660794633968
190,200,1570,1570,0.000112199666490604
200,210,1570,1570,3.6882573423482e-05
210,220,1570,1570,6.85868539377599e-08
220,230,1570,1570,1.83490972047985e-15
110,120,1571,1570,5.06460786188558e-14
120,130,1571,1570,2.43145297966172e-13
130,140,1571,1570,4.95719871076907e-13
140,150,1571,1570,7.10190040323794e-13
150,160,1571,1570,8.19286790755455e-13
160,170,1571,1570,7.98164381679541e-13
170,180,1571,1570,6.6087022703555e-13
180,190,1571,1570,4.51858473508118e-13
190,200,1571,1570,2.34015651266268e-13
200,210,1571,1570,7.09713866360452e-14
210,220,1571,1570,1.23274059774837e-16
220,230,1571,1570,3.11014953559159e-24
130,140,1529,1570,2.57043990490478e-07
140,150,1529,1570,4.92829847500199e-06
150,160,1529,1570,1.24031273721749e-05
160,170,1529,1570,1.88166846055576e-05
170,180,1529,1570,2.09152622903104e-05
180,190,1529,1570,1.76874608524724e-05
190,200,1529,1570,1.07666787157187e-05
200,210,1529,1570,3.70868425171602e-06
210,220,1529,1570,7.14110238076708e-09
220,230,1529,1570,1.96179505112183e-16
120,130,1530,1570,2.26006235573278e-14
130,140,1530,1570,1.0446468291002e-13
140,150,1530,1570,2.09290091185296e-13
150,160,1530,1570,2.91019033360294e-13
160,170,1530,1570,3.19633827574745e-13
170,180,1530,1570,2.87966498901462e-13
180,190,1530,1570,2.09818777887492e-13
190,200,1530,1570,1.14281949566834e-13
200,210,1530,1570,3.61287597342538e-14
210,220,1530,1570,6.50038723179893e-17
220,230,1530,1570,1.69084173308607e-24
110,120,1531,1570,3.93044283339788e-06
120,130,1531,1570,8.61619409329994e-05
130,140,1531,1570,0.000181518594252285
140,150,1531,1570,0.00024931366474785
150,160,1531,1570,0.0002729133730713
160,170,1531,1570,0.000253054506790189
170,180,1531,1570,0.000200663417891555
180,190,1531,1570,0.000132263281172319
190,200,1531,1570,6.64340779865276e-05
200,210,1531,1570,1.96436977919286e-05
210,220,1531,1570,3.34151643252037e-08
220,230,1531,1570,8.28717336814096e-16
120,130,1570,1571,4.39408768513216e-16
130,140,1570,1571,1.03693180812514e-14
140,150,1570,1571,2.90021883802802e-14
150,160,1570,1571,5.10520992570686e-14
160,170,1570,1571,6.97642544968362e-14
170,180,1570,1571,7.91470268976147e-14
180,190,1570,1571,7.55361017768997e-14
190,200,1570,1571,5.89385340677214e-14
200,210,1570,1571,3.41624989132436e-14
210,220,1570,1571,1.09788139363296e-14
220,230,1570,1571,7.2764132168972e-20
110,120,1571,1571,2.17162388057725e-05
120,130,1571,1571,0.00011113880454916
130,140,1571,1571,0.000244051577582566
140,150,1571,1571,0.000381507277842308
150,160,1571,1571,0.000488392032505713
160,170,1571,1571,0.000540230759464665
170,180,1571,1571,0.000525035488425823
180,190,1571,1571,0.000444352767694628
190,200,1571,1571,0.000314647746450555
200,210,1571,1571,0.000168261076477301
210,220,1571,1571,5.05077705295953e-05
220,230,1571,1571,3.15686405630091e-10
100,110,1572,1571,4.97545968489856e-15
110,120,1572,1571,1.52380241802638e-13
120,130,1572,1571,3.35375455455137e-13
130,140,1572,1571,4.97097099267747e-13
140,150,1572,1571,6.06924805004282e-13
150,160,1572,1571,6.52443926847299e-13
160,170,1572,1571,6.32482130445472e-13
170,180,1572,1571,5.5393108918521e-13
180,190,1572,1571,4.3076930565998e-13
190,200,1572,1571,2.84309962972029e-13
200,210,1572,1571,1.43260635136557e-13
210,220,1572,1571,4.08683849023283e-14
220,230,1572,1571,2.4443086518938e-19
120,130,1530,1571,2.29092536096234e-06
130,140,1530,1571,1.14052669398087e-05
140,150,1530,1571,2.49326011540727e-05
150,160,1530,1571,3.84719929181203e-05
160,170,1530,1571,4.79767000761248e-05
170,180,1530,1571,5.07347017426623e-05
180,190,1530,1571,4.57573099516536e-05
190,200,1530,1571,3.40759548661621e-05
