"time_from","time_to","tile_from","tile_to","eventLoc"
200,210,818,818,1.43976206869971e-30
210,220,818,818,4.99264007026878e-26
220,230,818,818,7.45269717125478e-23
230,240,818,818,6.26674779153982e-22
240,250,818,818,1.90279693285587e-21
250,260,818,818,4.03420257403109e-21
260,270,818,818,7.07614955948194e-21
270,280,818,818,1.10342260818009e-20
280,290,818,818,1.58825619872752e-20
290,300,818,818,2.15763944931938e-20
300,310,818,818,2.80606317435366e-20
310,320,818,818,3.52755765804517e-20
320,330,818,818,4.31606522320213e-20
330,340,818,818,5.16567389354506e-20
340,350,818,818,6.0707558478772e-20
350,360,818,818,7.02604170372599e-20
360,370,818,818,8.0266524467817e-20
370,380,818,818,9.06810417643813e-20
380,390,818,818,1.01462960928275e-19
390,400,818,818,1.12574887919805e-19
400,410,818,818,1.23982775776202e-19
410,420,818,818,1.35655638564749e-19
420,430,818,818,1.47565265518525e-19
430,440,818,818,1.59685946980247e-19
440,450,818,818,1.71994218584105e-19
450,460,818,818,1.84468626670595e-19
460,470,818,818,1.97089515711138e-19
470,480,818,818,2.09838837133402e-19
480,490,818,818,2.226999781141e-19
490,500,818,818,2.35657608454361e-19
500,510,818,818,2.48697543441718e-19
510,520,818,818,2.61806620541275e-19
520,530,818,818,2.74972587783987e-19
530,540,818,818,2.88184001789578e-19
540,550,818,818,3.01430133446485e-19
550,560,818,818,3.14700879351785e-19
560,570,818,818,3.27986677177012e-19
570,580,818,818,3.41278423162088e-19
580,590,818,818,3.54567389942444e-19
590,600,818,818,3.67845142878633e-19
600,610,818,818,3.81103452978719e-19
610,620,818,818,3.94334204376615e-19
620,630,818,818,4.07529294149495e-19
630,640,818,818,4.20680522018361e-19
640,650,818,818,4.33779467171886e-19
650,660,818,818,4.4681734907942e-19
660,670,818,818,4.59784868716372e-19
670,680,818,818,4.72672026143155e-19
680,690,818,818,4.85467909983344e-19
690,700,818,818,4.9816045449507e-19
700,710,818,818,5.10736162199762e-19
710,720,818,818,5.23179799774229e-19
720,730,818,818,5.35474110147626e-19
730,740,818,818,5.47599705026981e-19
740,750,818,818,5.59535712602256e-19
750,760,818,818,5.71263136318178e-19
760,770,818,818,5.8277751576504e-19
770,780,818,818,5.9413301836863e-19
780,790,818,818,6.05592137380724e-19
790,800,818,818,6.18129419551248e-19
800,810,818,818,6.35120734303809e-19
810,820,818,818,6.67999931894392e-19
820,830,818,818,7.55185542333496e-19
830,840,818,818,1.02537314788437e-18
840,850,818,818,1.90909391870975e-18
850,860,818,818,4.84555542929949e-18
860,870,818,818,1.4642893411528e-17
870,880,818,818,4.9823007008187e-17
880,890,818,818,1.54121033282512e-14
200,210,819,818,2.88477925048913e-36
210,220,819,818,1.41593277410548e-32
220,230,819,818,1.40543584634972e-30
230,240,819,818,2.85219622009944e-29
240,250,819,818,1.04920125896046e-28
250,260,819,818,2.50923263556202e-28
260,270,819,818,4.8368042093136e-28
270,280,819,818,8.17472213833398e-28
280,290,819,818,1.26401822609571e-27
290,300,819,818,1.83275929509338e-27
300,310,819,818,2.53111335213411e-27
310,320,819,818,3.36470662610883e-27
320,330,819,818,4.33758234468473e-27
330,340,819,818,5.45238897523278e-27
340,350,819,818,6.71054988702866e-27
350,360,819,818,8.11241615106585e-27
360,370,819,818,9.65740403813372e-27
370,380,819,818,1.13441186325237e-26
380,390,819,818,1.31704648477775e-26
390,400,819,818,1.51337470114421e-26
400,410,819,818,1.72307580768234e-26
410,420,819,818,1.94578594202356e-26
420,430,819,818,2.18110520912596e-26
430,440,819,818,2.42860403001727e-26
440,450,819,818,2.68782878501601e-26
450,460,819,818,2.958306815139e-26
460,470,819,818,3.23955083887932e-26
470,480,819,818,3.53106283547457e-26
480,490,819,818,3.83233744011188e-26
490,500,819,818,4.14286489116978e-26
500,510,819,818,4.46213356451085e-26
510,520,819,818,4.78963212494866e-26
520,530,819,818,5.12485132024986e-26
530,540,819,818,5.46728543832821e-26
540,550,819,818,5.81643344356716e-26
550,560,819,818,6.17179980339192e-26
560,570,819,818,6.53289501121446e-26
570,580,819,818,6.89923580659814e-26
580,590,819,818,7.27034508782669e-26
590,600,819,818,7.64575150589264e-26
600,610,819,818,8.02498872210505e-26
610,620,819,818,8.40759430389801e-26
620,630,819,818,8.79310822481775e-26
630,640,819,818,9.18107092487366e-26
640,650,819,818,9.5710208762346e-26
650,660,819,818,9.96249158643396e-26
660,670,819,818,1.03550079567703e-25
670,680,819,818,1.0748081898051e-25
680,690,819,818,1.11412070921255e-25
690,700,819,818,1.15338527866489e-25
700,710,819,818,1.19254565601822e-25
710,720,819,818,1.23154162249095e-25
720,730,819,818,1.2703081885473e-25
730,740,819,818,1.3087752134264e-25
740,750,819,818,1.34686884646569e-25
750,760,819,818,1.38451961825543e-25
760,770,819,818,1.42169355349301e-25
770,780,819,818,1.45850158480273e-25
780,790,819,818,1.49557355214308e-25
790,800,819,818,1.53532383745712e-25
800,810,819,818,1.58621759724917e-25
810,820,819,818,1.67712569772642e-25
820,830,819,818,1.90557563592476e-25
830,840,819,818,2.59981233788745e-25
840,850,819,818,4.86275658681529e-25
850,860,819,818,1.23966658538119e-24
860,870,819,818,3.7619097042943e-24
870,880,819,818,1.28513446236182e-23
880,890,819,818,3.9905945197726e-21
200,210,777,818,1.54342213249859e-34
210,220,777,818,1.23164922274805e-29
220,230,777,818,2.88296609174811e-26
230,240,777,818,1.3888658531017e-25
240,250,777,818,3.07159415781185e-25
250,260,777,818,5.15283564075654e-25
260,270,777,818,7.49764107476478e-25
270,280,777,818,1.00080851714138e-24
280,290,777,818,1.26137338850321e-24
290,300,777,818,1.52643325864921e-24
300,310,777,818,1.79243286193441e-24
310,320,777,818,2.05688254743354e-24
320,330,777,818,2.31806207887084e-24
330,340,777,818,2.5748050197497e-24
340,350,777,818,2.82634237100372e-24
350,360,777,818,3.07218946850546e-24
360,370,777,818,3.31206432019182e-24
370,380,777,818,3.54582872375385e-24
380,390,777,818,3.77344585749774e-24
390,400,777,818,3.99494976679044e-24
400,410,777,818,4.21042343183838e-24
410,420,777,818,4.41998302096346e-24
420,430,777,818,4.62376659920055e-24
430,440,777,818,4.82192604353709e-24
440,450,777,818,5.01462126392003e-24
450,460,777,818,5.20201608013856e-24
460,470,777,818,5.38427528565953e-24
470,480,777,818,5.56156255988179e-24
480,490,777,818,5.73403898414144e-24
490,500,777,818,5.90186198429906e-24
500,510,777,818,6.06518457120078e-24
510,520,777,818,6.22415478500899e-24
520,530,777,818,6.37891527415311e-24
530,540,777,818,6.52960295719228e-24
540,550,777,818,6.67634872817672e-24
550,560,777,818,6.8192771745519e-24
560,570,777,818,6.95850628227396e-24
570,580,777,818,7.09414710630931e-24
580,590,777,818,7.2263033865748e-24
590,600,777,818,7.35507108998125e-24
600,610,777,818,7.48053785880091e-24
610,620,777,818,7.6027823442315e-24
620,630,777,818,7.72187340185262e-24
630,640,777,818,7.83786912269509e-24
640,650,777,818,7.95081566986908e-24
650,660,777,818,8.06074588612849e-24
660,670,777,818,8.16767763250433e-24
670,680,777,818,8.27161181278654e-24
680,690,777,818,8.37253003531224e-24
690,700,777,818,8.47039186967434e-24
700,710,777,818,8.56513169673533e-24
710,720,777,818,8.65665530966579e-24
720,730,777,818,8.74483698084272e-24
730,740,777,818,8.82951959147489e-24
740,750,777,818,8.91052670408726e-24
750,760,777,818,8.98771634575182e-24
760,770,777,818,9.06117559367653e-24
770,780,777,818,9.13188496372283e-24
780,790,777,818,9.20394378064217e-24
790,800,777,818,9.2919737236025e-24
800,810,777,818,9.44568752226751e-24
